Trial,Carapace_mm,Bites_alive,Bites_margin,Bites_dead
1,17,76,326,581
2,16,11,37,222
3,23,129,80,354
4,22,45,39,70
5,32,4,1,30
6,22,0,0,0
7,26.5,1,0,15
8,16,0,0,3
9,19,15,12,60
10,26,8,0,20
11,25,8,2,7
12,15,73,173,447
13,19,14,40,108
14,15,114,2,72
15,18,239,139,178
16,20,33,4,322
17,22,35,4,252
18,21,80,34,230
19,20,2,24,342
20,25,0,0,20
21,24,0,0,0
22,26,29,28,374
23,19,8,0,0
24,16,30,89,252
25,26,11,66,337
26,28,52,114,471
27,25,72,107,197
28,18,10,227,786
29,17,13,57,850
30,28,126,283,212
