Trial,Date,Pixels^2,Alive_Pixels,Margin_Pixels,Dead_Pixels
1,2/23/20,200,120,11,108
2,2/23/20,200,227,15,32
3,2/23/20,200,115,14,121
4,2/24/20,200,159,17,101
5,2/24/20,200,132,48,123
6,2/24/20,200,220,28,101
7,2/24/20,200,112,34,103
8,2/24/20,200,122,10,92
9,2/24/20,200,167,31,158
10,2/24/20,200,274,27,217
11,2/27/20,200,436,26,93
12,2/27/20,200,317,42,97
13,2/27/20,200,310,6,92
14,2/27/20,200,178,13,116
15,2/27/20,200,114,21,160
16,2/27/20,200,230,6,52
17,2/27/20,200,142,33,316
18,2/27/20,200,222,8,86
19,2/28/20,200,192,9,115
20,2/28/20,200,213,16,46
21,2/28/20,200,154,52,135
22,2/28/20,200,39,5,61
23,2/29/20,200,172,11,50
24,2/29/20,200,123,13,214
25,2/29/20,200,187,30,269
26,2/29/20,200,185,59,188
27,2/29/20,200,292,22,72
28,2/29/20,200,124,38,130
29,2/29/20,200,95,8,186
30,2/29/20,200,141,12,235
